,value,time,device
321,34,1651054194,AHT10humid
322,34,1651054795,AHT10humid
323,34,1651055396,AHT10humid
324,34,1651055997,AHT10humid
325,34,1651056598,AHT10humid
326,34,1651057199,AHT10humid
327,33,1651057800,AHT10humid
328,33,1651058401,AHT10humid
329,33,1651059002,AHT10humid
330,33,1651059604,AHT10humid
331,33,1651060205,AHT10humid
332,33,1651060806,AHT10humid
333,33,1651061407,AHT10humid
334,33,1651062008,AHT10humid
335,33,1651062609,AHT10humid
336,33,1651063210,AHT10humid
337,32,1651063811,AHT10humid
338,32,1651064412,AHT10humid
339,32,1651065013,AHT10humid
340,32,1651065615,AHT10humid
341,32,1651066216,AHT10humid
342,32,1651066817,AHT10humid
343,32,1651067418,AHT10humid
344,32,1651068019,AHT10humid
345,31,1651068620,AHT10humid
346,29,1651069221,AHT10humid
347,30,1651069822,AHT10humid
348,31,1651070423,AHT10humid
349,31,1651071025,AHT10humid
350,30,1651071626,AHT10humid
351,30,1651072227,AHT10humid
352,29,1651072828,AHT10humid
353,29,1651073429,AHT10humid
354,29,1651074030,AHT10humid
355,29,1651074631,AHT10humid
356,29,1651075233,AHT10humid
357,29,1651075834,AHT10humid
358,29,1651076435,AHT10humid
359,28,1651077037,AHT10humid
360,28,1651077638,AHT10humid
361,28,1651078239,AHT10humid
362,28,1651078840,AHT10humid
363,28,1651079441,AHT10humid
364,28,1651080042,AHT10humid
365,27,1651080643,AHT10humid
366,27,1651081244,AHT10humid
367,27,1651081845,AHT10humid
368,27,1651082447,AHT10humid
369,26,1651083048,AHT10humid
370,26,1651083649,AHT10humid
371,26,1651084250,AHT10humid
372,26,1651084851,AHT10humid
373,27,1651085452,AHT10humid
374,26,1651086053,AHT10humid
375,26,1651086654,AHT10humid
376,26,1651087255,AHT10humid
377,26,1651087857,AHT10humid
378,26,1651088458,AHT10humid
379,24,1651089059,AHT10humid
380,24,1651089660,AHT10humid
381,24,1651090261,AHT10humid
382,25,1651090862,AHT10humid
383,25,1651091463,AHT10humid
384,25,1651092064,AHT10humid
385,25,1651092665,AHT10humid
386,25,1651093267,AHT10humid
387,25,1651093868,AHT10humid
388,26,1651094469,AHT10humid
389,25,1651095070,AHT10humid
390,26,1651095671,AHT10humid
391,26,1651096272,AHT10humid
392,26,1651096873,AHT10humid
393,27,1651097474,AHT10humid
394,26,1651098075,AHT10humid
395,26,1651098677,AHT10humid
396,26,1651099278,AHT10humid
397,26,1651099879,AHT10humid
398,25,1651100480,AHT10humid
399,25,1651101081,AHT10humid
400,25,1651101682,AHT10humid
401,26,1651102283,AHT10humid
402,26,1651102884,AHT10humid
403,26,1651103486,AHT10humid
404,26,1651104087,AHT10humid
405,26,1651104688,AHT10humid
406,25,1651105289,AHT10humid
407,25,1651105890,AHT10humid
408,25,1651106491,AHT10humid
409,26,1651107092,AHT10humid
410,26,1651107693,AHT10humid
411,26,1651108295,AHT10humid
412,26,1651108896,AHT10humid
413,26,1651109497,AHT10humid
414,26,1651110098,AHT10humid
415,26,1651110699,AHT10humid
416,26,1651111301,AHT10humid
417,26,1651111902,AHT10humid
418,26,1651112503,AHT10humid
419,26,1651113104,AHT10humid
420,26,1651113705,AHT10humid
421,26,1651114306,AHT10humid
422,26,1651114907,AHT10humid
423,26,1651115508,AHT10humid
424,26,1651116110,AHT10humid
425,26,1651116711,AHT10humid
426,25,1651117312,AHT10humid
427,25,1651117913,AHT10humid
428,27,1651118514,AHT10humid
429,26,1651119115,AHT10humid
430,31,1651119716,AHT10humid
431,31,1651120317,AHT10humid
432,31,1651120918,AHT10humid
433,31,1651121520,AHT10humid
434,31,1651122121,AHT10humid
435,31,1651122722,AHT10humid
436,30,1651123323,AHT10humid
437,29,1651123924,AHT10humid
438,29,1651124525,AHT10humid
439,28,1651125126,AHT10humid
440,28,1651125727,AHT10humid
441,27,1651126328,AHT10humid
442,27,1651126930,AHT10humid
443,27,1651127531,AHT10humid
444,27,1651128132,AHT10humid
445,26,1651128733,AHT10humid
446,26,1651129334,AHT10humid
447,26,1651129935,AHT10humid
448,26,1651130536,AHT10humid
449,26,1651131137,AHT10humid
450,26,1651131738,AHT10humid
451,25,1651132339,AHT10humid
452,25,1651132941,AHT10humid
453,25,1651133542,AHT10humid
454,25,1651134143,AHT10humid
455,25,1651134744,AHT10humid
456,25,1651135345,AHT10humid
457,25,1651135946,AHT10humid
458,25,1651136547,AHT10humid
459,25,1651137148,AHT10humid
460,25,1651137750,AHT10humid
461,24,1651138351,AHT10humid
462,24,1651138952,AHT10humid
463,24,1651139553,AHT10humid
464,24,1651140154,AHT10humid
465,24,1651140756,AHT10humid
466,24,1651141357,AHT10humid
467,24,1651141958,AHT10humid
468,24,1651142559,AHT10humid
469,24,1651143160,AHT10humid
470,24,1651143761,AHT10humid
471,24,1651144362,AHT10humid
472,24,1651144963,AHT10humid
473,24,1651145565,AHT10humid
474,24,1651146166,AHT10humid
475,23,1651146767,AHT10humid
476,23,1651147369,AHT10humid
477,23,1651147970,AHT10humid
478,23,1651148571,AHT10humid
479,23,1651149172,AHT10humid
480,22,1651149773,AHT10humid
481,22,1651150374,AHT10humid
482,23,1651150975,AHT10humid
483,22,1651151576,AHT10humid
484,22,1651152177,AHT10humid
485,22,1651152779,AHT10humid
486,22,1651153380,AHT10humid
487,22,1651153981,AHT10humid
488,22,1651154582,AHT10humid
489,23,1651155183,AHT10humid
490,23,1651155784,AHT10humid
491,22,1651156385,AHT10humid
492,22,1651156986,AHT10humid
493,22,1651157588,AHT10humid
494,22,1651158189,AHT10humid
