,value,time,device
328,27,1651058401,AHT10temp
329,27,1651059002,AHT10temp
330,27,1651059604,AHT10temp
331,27,1651060205,AHT10temp
332,27,1651060806,AHT10temp
333,27,1651061407,AHT10temp
334,27,1651062008,AHT10temp
335,27,1651062609,AHT10temp
336,27,1651063210,AHT10temp
337,27,1651063811,AHT10temp
338,27,1651064412,AHT10temp
339,27,1651065013,AHT10temp
340,27,1651065615,AHT10temp
341,27,1651066216,AHT10temp
342,27,1651066817,AHT10temp
343,27,1651067418,AHT10temp
344,27,1651068019,AHT10temp
345,27,1651068620,AHT10temp
346,26,1651069221,AHT10temp
347,26,1651069822,AHT10temp
348,26,1651070423,AHT10temp
349,27,1651071025,AHT10temp
350,27,1651071626,AHT10temp
351,27,1651072227,AHT10temp
352,27,1651072828,AHT10temp
353,27,1651073429,AHT10temp
354,27,1651074030,AHT10temp
355,27,1651074631,AHT10temp
356,27,1651075233,AHT10temp
357,27,1651075834,AHT10temp
358,27,1651076435,AHT10temp
359,27,1651077036,AHT10temp
360,27,1651077638,AHT10temp
361,27,1651078239,AHT10temp
362,27,1651078840,AHT10temp
363,27,1651079441,AHT10temp
364,27,1651080042,AHT10temp
365,27,1651080643,AHT10temp
366,27,1651081244,AHT10temp
367,27,1651081845,AHT10temp
368,27,1651082447,AHT10temp
369,27,1651083048,AHT10temp
370,27,1651083649,AHT10temp
371,27,1651084250,AHT10temp
372,27,1651084851,AHT10temp
373,27,1651085452,AHT10temp
374,27,1651086053,AHT10temp
375,27,1651086654,AHT10temp
376,27,1651087255,AHT10temp
377,27,1651087856,AHT10temp
378,27,1651088458,AHT10temp
379,27,1651089059,AHT10temp
380,26,1651089660,AHT10temp
381,26,1651090261,AHT10temp
382,26,1651090862,AHT10temp
383,27,1651091463,AHT10temp
384,27,1651092064,AHT10temp
385,27,1651092665,AHT10temp
386,27,1651093267,AHT10temp
387,27,1651093868,AHT10temp
388,27,1651094469,AHT10temp
389,27,1651095070,AHT10temp
390,27,1651095671,AHT10temp
391,26,1651096272,AHT10temp
392,27,1651096873,AHT10temp
393,27,1651097474,AHT10temp
394,27,1651098075,AHT10temp
395,27,1651098677,AHT10temp
396,27,1651099278,AHT10temp
397,27,1651099879,AHT10temp
398,27,1651100480,AHT10temp
399,27,1651101081,AHT10temp
400,27,1651101682,AHT10temp
401,27,1651102283,AHT10temp
402,27,1651102884,AHT10temp
403,27,1651103485,AHT10temp
404,27,1651104087,AHT10temp
405,27,1651104688,AHT10temp
406,27,1651105289,AHT10temp
407,27,1651105890,AHT10temp
408,27,1651106491,AHT10temp
409,26,1651107092,AHT10temp
410,26,1651107693,AHT10temp
411,26,1651108295,AHT10temp
412,26,1651108896,AHT10temp
413,26,1651109497,AHT10temp
414,26,1651110098,AHT10temp
415,26,1651110699,AHT10temp
416,26,1651111301,AHT10temp
417,26,1651111902,AHT10temp
418,26,1651112503,AHT10temp
419,26,1651113104,AHT10temp
420,26,1651113705,AHT10temp
421,26,1651114306,AHT10temp
422,26,1651114907,AHT10temp
423,26,1651115508,AHT10temp
424,26,1651116109,AHT10temp
425,26,1651116711,AHT10temp
426,26,1651117312,AHT10temp
427,26,1651117913,AHT10temp
428,26,1651118514,AHT10temp
429,26,1651119115,AHT10temp
430,26,1651119716,AHT10temp
431,26,1651120317,AHT10temp
432,26,1651120918,AHT10temp
433,26,1651121520,AHT10temp
434,26,1651122121,AHT10temp
435,26,1651122722,AHT10temp
436,26,1651123323,AHT10temp
437,26,1651123924,AHT10temp
438,26,1651124525,AHT10temp
439,26,1651125126,AHT10temp
440,26,1651125727,AHT10temp
441,26,1651126328,AHT10temp
442,26,1651126930,AHT10temp
443,26,1651127531,AHT10temp
444,26,1651128132,AHT10temp
445,26,1651128733,AHT10temp
446,26,1651129334,AHT10temp
447,25,1651129935,AHT10temp
448,25,1651130536,AHT10temp
449,25,1651131137,AHT10temp
450,25,1651131738,AHT10temp
451,25,1651132339,AHT10temp
452,25,1651132941,AHT10temp
453,25,1651133542,AHT10temp
454,25,1651134143,AHT10temp
455,25,1651134744,AHT10temp
456,25,1651135345,AHT10temp
457,25,1651135946,AHT10temp
458,25,1651136547,AHT10temp
459,25,1651137148,AHT10temp
460,25,1651137749,AHT10temp
461,25,1651138351,AHT10temp
462,25,1651138952,AHT10temp
463,25,1651139553,AHT10temp
464,25,1651140154,AHT10temp
465,25,1651140756,AHT10temp
466,25,1651141357,AHT10temp
467,25,1651141958,AHT10temp
468,25,1651142559,AHT10temp
469,25,1651143160,AHT10temp
470,25,1651143761,AHT10temp
471,25,1651144362,AHT10temp
472,25,1651144963,AHT10temp
473,25,1651145565,AHT10temp
474,25,1651146166,AHT10temp
475,25,1651146767,AHT10temp
476,26,1651147368,AHT10temp
477,26,1651147970,AHT10temp
478,26,1651148571,AHT10temp
479,26,1651149172,AHT10temp
480,26,1651149773,AHT10temp
481,26,1651150374,AHT10temp
482,26,1651150975,AHT10temp
483,26,1651151576,AHT10temp
484,25,1651152177,AHT10temp
485,25,1651152779,AHT10temp
486,25,1651153380,AHT10temp
487,25,1651153981,AHT10temp
488,25,1651154582,AHT10temp
489,25,1651155183,AHT10temp
490,25,1651155784,AHT10temp
491,25,1651156385,AHT10temp
492,25,1651156986,AHT10temp
493,25,1651157588,AHT10temp
494,25,1651158189,AHT10temp
495,25,1651158790,AHT10temp
496,26,1651159391,AHT10temp
497,26,1651159992,AHT10temp
498,26,1651160593,AHT10temp
499,26,1651161194,AHT10temp
500,26,1651161795,AHT10temp
501,26,1651162397,AHT10temp
502,26,1651162998,AHT10temp
503,26,1651163599,AHT10temp
504,26,1651164200,AHT10temp
505,26,1651164801,AHT10temp
506,26,1651165402,AHT10temp
507,26,1651166003,AHT10temp
508,26,1651166604,AHT10temp
509,26,1651167205,AHT10temp
510,26,1651167807,AHT10temp
511,26,1651168408,AHT10temp
512,26,1651169009,AHT10temp
513,26,1651169610,AHT10temp
514,26,1651170211,AHT10temp
515,26,1651170812,AHT10temp
516,26,1651171413,AHT10temp
517,26,1651172015,AHT10temp
518,26,1651172616,AHT10temp
519,26,1651173217,AHT10temp
520,26,1651173818,AHT10temp
521,26,1651174419,AHT10temp
522,26,1651175021,AHT10temp
